Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by	UniqueSpec	UniqueSpecSum	UniqueAvgSpec	PreySequenceLength
AMOT_HeLa	28373192	ADRM1	0|1	1	0.5	2	3|0|0|0|0|0|1|0|0|1|2|2|0|0|4|0|2|0|1|1|0|1|0|0|1|1|2|1	0	0	0	0	0	-13.92	0.18	0.92		0|1	1	0.5	407
AMOT_HeLa	197382472	AFAP1	0|1	1	0.5	2	0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|3|1|3|3|3|1|0|0	0	0	0	0	0	-16.05	0.15	0.92		0|1	1	0.5	814
AMOT_HeLa	300192933	AFG3L2	0|3	3	1.5	2	0|0|0|0|9|8|7|11|13|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-51.42	0.13	0.9		0|3	3	1.5	797
AMOT_HeLa	50409856	AFTPH	2|0	2	1	2	0|0|0|2|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|2|0|0|0|0|0|0|0|0	0	0	0	0	0	-9.68	0.57	0.67		2|0	2	1	908
AMOT_HeLa	262359929	AHCTF1	6|5	11	5.5	2	6|21|121|146|1|0|1|1|1|1|14|25|29|13|59|14|41|10|120|107|110|97|132|170|130|131|159|85	0	0	0	0	0	-654.84	0.04	0.92		6|5	11	5.5	2275
AMOT_HeLa	61743954	AHNAK	1050|862	1912	956	2	77|133|934|1322|9|7|4|2|6|5|93|291|293|119|263|122|249|136|653|676|647|598|1029|1576|1512|1382|1373|1063	0	0	0	0	0	#NAME?	0.65	0.92		1050|862	1912	956	5890
AMOT_HeLa	156766050	AHNAK2	46|35	81	40.5	2	0|0|37|29|0|0|0|0|0|0|0|0|2|0|4|0|0|0|23|33|24|24|62|61|59|54|10|6	0	0	0	0	0	-165.3	0.69	0.92		46|35	81	40.5	5795
AMOT_HeLa	6912280	AHSA1	5|5	10	5	2	9|6|4|5|3|3|2|3|1|1|9|4|3|5|6|5|5|6|3|8|9|10|1|3|2|2|2|6	0	0	0	0	0	-29.12	0.54	0.88		5|5	10	5	338
AMOT_HeLa	195927006	AIFM1	1|3	4	2	2	1|0|0|0|0|0|0|0|0|0|2|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0.01	0	0.01	0	-7.72	1.14	0.62		1|3	4	2	324
AMOT_HeLa	11125770	AIMP2	0|1	1	0.5	2	0|0|2|0|0|0|0|0|0|0|0|0|3|0|1|0|0|0|2|1|0|1|0|0|0|0|2|0	0	0	0	0	0	-11.74	0.22	0.92		0|1	1	0.5	320
AMOT_HeLa	4502011	AK1	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-3.39	5	0.92		0|1	1	0.5	194
AMOT_HeLa	339275974	AKAP1	5|1	6	3	2	3|6|9|16|0|0|0|0|0|0|5|3|7|5|3|5|6|6|10|12|10|8|5|11|7|6|6|4	0	0	0	0	0	-51.97	0.24	0.92		5|1	6	3	903
AMOT_HeLa	21493022	AKAP12	2|0	2	1	2	3|9|25|27|0|0|0|0|0|0|8|7|9|6|15|4|11|3|8|13|8|10|23|26|18|19|2|5	0	0	0	0	0	-114.01	0.04	0.92		2|0	2	1	1782
AMOT_HeLa	211971074	AKAP2	0|4	4	2	2	3|2|0|0|0|0|0|0|0|0|6|5|1|0|2|3|3|3|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-20.41	0.47	0.79		0|4	4	2	859
AMOT_HeLa	49472841	AKAP8L	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|1|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-6.18	0.5	0.92		0|1	1	0.5	646
AMOT_HeLa	21361368	ALDH18A1	25|33	58	29	2	27|18|0|0|20|25|21|30|31|25|20|23|17|15|20|7|13|15|1|0|0|0|0|0|0|1|23|26	0	0	0	0	0	-67.27	1.02	0.91		25|33	58	29	795
AMOT_HeLa	110349786	ALMS1	34|38	72	36	2	0|0|9|6|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|2|0|0|7|6|2|7|0|0	1	1	1	1	1	15.02	4.97	0		34|38	72	36	4169
AMOT_HeLa	238776833	ALYREF	0|5	5	2.5	2	5|5|0|0|0|0|0|0|0|0|4|6|3|1|10|9|5|6|0|0|0|0|0|0|0|0|1|0	0	0	0	0	0	-35.87	0.32	0.86		0|5	5	2.5	264
AMOT_HeLa	22027646	AMOTL1	52|66	118	59	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	75.63	590	0		52|66	118	59	956
AMOT_HeLa	32484977	AMOTL2	12|3	15	7.5	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.98	1	0.98	1	0.98	3	75	0		12|3	15	7.5	780
AMOT_HeLa	12056971	ANAPC1	17|3	20	10	2	2|0|1|1|0|0|0|0|0|0|11|8|5|3|3|1|6|2|0|0|0|0|1|1|0|0|3|2	0	0	0	0	0	-26.28	1.33	0.65		17|3	20	10	1944
AMOT_HeLa	27735039	ANAPC16	2|1	3	1.5	2	0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|1	0.01	0.03	0.01	0.03	0.01	-5.02	1.5	0.57		2|1	3	1.5	110
AMOT_HeLa	20127553	ANAPC5	5|0	5	2.5	2	0|0|0|0|0|0|0|0|0|0|7|1|1|2|2|0|0|0|0|0|0|0|0|0|0|0|2|0	0	0	0	0	0	-15.85	0.77	0.69		5|0	5	2.5	755
AMOT_HeLa	212549736	ANAPC7	1|0	1	0.5	2	1|0|0|0|0|0|0|0|0|0|3|0|0|0|3|0|3|1|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-12.84	0.2	0.92		1|0	1	0.5	599
AMOT_HeLa	37620163	ANKHD1-EIF4EBP3	7|0	7	3.5	2	7|4|4|13|0|0|0|0|0|0|8|3|3|16|5|10|7|8|0|10|5|10|1|2|0|5|2|0	0	0	0	0	0	-55.88	0.29	0.9		7|0	7	3.5	2617
AMOT_HeLa	38683807	ANKRD17	15|4	19	9.5	2	13|16|13|26|0|0|0|0|0|0|20|10|7|17|10|8|10|7|17|32|24|20|11|12|13|13|7|9	0	0	0	0	0	-99.73	0.37	0.91		15|4	19	9.5	2603
AMOT_HeLa	154354990	ANKRD26	7|7	14	7	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	9.66	70	0		7|7	14	7	1710
AMOT_HeLa	304361757	ANKRD28	2|2	4	2	2	0|2|0|2|0|0|0|0|0|0|6|2|3|5|2|0|2|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-14.39	0.5	0.81		2|2	4	2	899
AMOT_HeLa	4502101	ANXA1	2|3	5	2.5	2	0|0|2|0|0|3|2|0|0|0|0|0|0|0|0|0|0|0|2|2|2|4|1|0|0|0|3|0	0	0	0	0	0	-10.6	0.83	0.74		2|3	5	2.5	346
AMOT_HeLa	209862831	ANXA2	43|43	86	43	2	10|12|22|28|14|13|11|14|11|10|8|3|4|6|11|0|6|7|31|27|37|34|17|23|21|18|57|12	0	0	0	0	0	-80.21	1.08	0.91		43|43	86	43	339
AMOT_HeLa	260436860	AP1B1	1|1	2	1	2	4|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0	0	0	0	0	0	-7.66	0.57	0.92		1|1	2	1	939
AMOT_HeLa	19913414	AP2A1	1|3	4	2	2	0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.36	0.72	0.36	0.72	0.36	-2.32	8	0.34		1|3	4	2	977
AMOT_HeLa	14917109	AP2M1	0|3	3	1.5	2	2|0|0|0|0|0|0|0|0|0|1|0|0|4|3|2|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-13.92	0.55	0.73		0|3	3	1.5	435
AMOT_HeLa	117553580	AP3D1	1|2	3	1.5	2	6|6|6|7|1|1|0|0|0|1|20|4|2|5|12|3|7|5|3|2|4|5|2|8|2|6|4|4	0	0	0	0	0	-49.38	0.13	0.92		1|2	3	1.5	1153
AMOT_HeLa	189011566	APC	53|32	85	42.5	2	0|0|12|12|0|0|0|0|0|0|2|0|2|0|3|0|0|0|6|5|3|0|9|12|12|12|2|3	0.64	1	0.64	1	0.64	-0.98	3.54	0.04		53|32	85	42.5	2843
AMOT_HeLa	11863154	ARCN1	1|3	4	2	2	7|9|2|2|0|0|0|0|0|0|6|3|3|5|7|2|0|4|1|1|4|1|1|2|1|1|0|0	0	0	0	0	0	-30.26	0.28	0.87		1|3	4	2	511
AMOT_HeLa	4502201	ARF1	9|5	14	7	2	28|5|3|2|1|5|3|0|2|2|13|7|7|7|9|0|6|2|5|4|3|2|4|0|5|5|10|4	0	0	0	0	0	-51.62	0.47	0.9		9|5	14	7	181
AMOT_HeLa	4502205	ARF4	1|2	3	1.5	2	4|0|0|0|3|1|2|2|2|1|1|4|0|0|1|0|0|0|0|2|0|4|0|2|0|0|0|0	0	0	0	0	0	-15.53	0.4	0.8		1|2	3	1.5	180
AMOT_HeLa	4502209	ARF5	0|2	2	1	2	3|2|0|0|0|0|0|2|0|0|1|1|0|0|3|0|2|0|0|0|0|2|0|0|0|0|0|0	0	0	0	0	0	-12.84	0.4	0.74		0|2	2	1	180
AMOT_HeLa	8922652	ARFGAP1	12|7	19	9.5	2	18|28|10|14|0|0|0|0|0|0|12|5|0|6|4|5|7|4|8|10|12|10|7|11|5|2|3|3	0	0	0	0	0	-59.55	0.53	0.9		12|7	19	9.5	406
AMOT_HeLa	203097003	ARHGAP21	10|4	14	7	2	0|0|10|8|0|0|0|0|0|0|2|2|1|1|3|0|2|0|2|4|0|1|7|8|4|4|1|1	0	0	0	0	0	-27.17	0.85	0.84		10|4	14	7	1958
AMOT_HeLa	21361458	ARHGEF17	1|1	2	1	2	0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|0	0	0	0	0	0	-7.71	0.57	0.92		1|1	2	1	2063
AMOT_HeLa	4502227	ARL1	0|2	2	1	2	2|0|0|0|0|1|0|0|0|0|2|0|0|3|0|1|1|1|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-10.61	0.5	0.69		0|2	2	1	181
AMOT_HeLa	50409691	ARL6IP4	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|0|1|0|1|0|0|0|0|0|0	0	0	0	0	0	-6.42	0.5	0.92		0|1	1	0.5	338
AMOT_HeLa	76880486	ASCC3	5|0	5	2.5	2	2|3|3|3|0|0|0|0|0|0|8|4|3|3|2|0|4|0|0|2|0|4|0|2|0|0|2|2	0	0	0	0	0	-23.68	0.5	0.8		5|0	5	2.5	2202
AMOT_HeLa	16950633	ASS1	14|18	32	16	2	0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|2|0|0|0|0|0|6|10	0.24	0.41	0.24	0.41	0.24	-2.64	3.37	0.37		14|18	32	16	412
AMOT_HeLa	283436220	ATAD3A	1|7	8	4	2	2|0|0|0|10|9|10|10|12|13|2|2|6|0|3|0|3|0|0|0|0|0|0|0|0|0|0|4	0	0	0	0	0	-47.6	0.36	0.89		1|7	8	4	634
AMOT_HeLa	118197272	ATG2B	16|8	24	12	2	22|16|9|8|0|0|0|0|0|0|42|15|6|19|14|9|9|15|10|21|8|20|4|8|1|2|0|0	0	0	0	0	0	-91.07	0.46	0.91		16|8	24	12	2078
AMOT_HeLa	45827806	ATL3	1|3	4	2	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.95	0.48	0.95	0.48	-0.88	20	0.19		1|3	4	2	541
AMOT_HeLa	21361181	ATP1A1	2|3	5	2.5	2	4|0|0|1|11|10|10|8|4|5|5|3|5|0|13|3|4|4|0|0|0|0|0|0|0|1|0|2	0	0	0	0	0	-43.38	0.23	0.92		2|3	5	2.5	1023
AMOT_HeLa	24638454	ATP2A2	6|5	11	5.5	2	9|6|0|0|5|10|5|5|8|5|14|7|10|5|9|9|6|9|0|4|0|1|3|0|0|0|2|2	0	0	0	0	0	-35.05	0.51	0.89		6|5	11	5.5	1042
AMOT_HeLa	48255945	ATP2B1	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-5.72	0.67	0.92		0|1	1	0.5	1220
AMOT_HeLa	4757810	ATP5A1	41|58	99	49.5	2	44|66|0|0|19|21|15|18|17|16|54|63|55|23|64|21|56|34|0|0|0|0|5|1|2|1|35|41	0	0	0	0	0	-166.57	0.8	0.92		41|58	99	49.5	553
AMOT_HeLa	32189394	ATP5B	12|15	27	13.5	2	42|34|3|5|14|12|14|19|22|16|5|9|7|7|25|9|11|18|3|3|2|2|2|3|6|3|10|9	0	0	0	0	0	-100.23	0.44	0.91		12|15	27	13.5	529
AMOT_HeLa	4885079	ATP5C1	10|10	20	10	2	5|6|0|0|4|4|18|5|4|5|11|3|7|2|8|0|8|2|0|0|1|0|0|0|0|0|12|10	0	0	0	0	0	-33.66	0.78	0.89		10|10	20	10	297
AMOT_HeLa	51479152	ATP5H	1|1	2	1	2	0|0|0|0|0|1|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|1|0	0	0	0	0	0	-6.67	0.67	0.92		1|1	2	1	137
AMOT_HeLa	311893396	ATP5J2-PTCD1	1|1	2	1	2	0|0|0|0|0|0|1|2|2|4|0|1|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0	0	0	0	0	0	-9.52	0.44	0.92		1|1	2	1	749
AMOT_HeLa	19913424	ATP6V1A	2|2	4	2	2	10|8|2|0|0|0|0|0|0|0|8|5|3|4|5|0|3|2|0|0|0|0|0|0|0|0|0|1	0	0	0	0	0	-29.66	0.26	0.88		2|2	4	2	617
AMOT_HeLa	171543895	ATXN2	2|0	2	1	2	7|4|0|1|0|0|0|0|0|0|5|4|3|1|1|3|4|3|5|2|1|3|0|1|0|0|1|0	0	0	0	0	0	-24.81	0.19	0.85		2|0	2	1	1313
AMOT_HeLa	27262647	ATXN2L	17|14	31	15.5	2	39|43|15|27|0|0|0|0|0|0|49|35|23|20|26|22|23|9|39|34|47|43|9|10|12|18|26|5	0	0	0	0	0	-156.84	0.34	0.92		17|14	31	15.5	1075
AMOT_HeLa	378786658	AURKB	0|1	1	0.5	2	1|2|0|0|0|0|0|0|0|0|7|4|3|0|4|0|5|0|0|0|0|0|0|0|0|0|8|1	0	0	0	0	0	-28.09	0.08	0.92		0|1	1	0.5	303
AMOT_HeLa	111955084	AZI1	6|0	6	3	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.5	1	0.5	1	0.5	-3.39	30	0.12		6|0	6	3	1080
AMOT_HeLa	11968003	AZI2	1|0	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-3.39	5	0.92		1|0	1	0.5	392
AMOT_HeLa	4757834	BAG2	3|3	6	3	2	5|3|0|2|0|0|0|0|0|0|4|2|3|6|4|8|6|0|0|0|0|0|0|1|0|1|10|7	0	0	0	0	0	-27.29	0.39	0.88		3|3	6	3	211
AMOT_HeLa	14043024	BAG3	2|0	2	1	2	3|0|3|7|0|0|0|0|0|0|0|0|0|1|0|0|0|0|3|8|2|5|0|3|0|4|0|0	0	0	0	0	0	-28.09	0.17	0.86		2|0	2	1	575
AMOT_HeLa	32171238	BAIAP2L1	1|1	2	1	2	0|2|0|0|0|0|0|0|0|0|2|1|0|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-7.72	0.57	0.92		1|1	2	1	511
AMOT_HeLa	30795231	BASP1	2|6	8	4	2	0|3|9|7|0|0|3|0|0|0|0|0|0|0|5|0|0|0|20|11|16|10|7|5|11|12|0|1	0	0	0	0	0	-59.57	0.27	0.9		2|6	8	4	227
AMOT_HeLa	14670392	BAZ1B	5|2	7	3.5	2	11|30|83|94|4|4|4|0|0|0|44|69|53|54|78|37|50|43|107|110|107|100|91|128|171|118|163|97	0	0	0	0	0	-639.28	0.02	0.92		5|2	7	3.5	1483
AMOT_HeLa	5031653	BCAS2	1|0	1	0.5	2	1|3|0|0|0|0|0|0|0|0|2|0|5|2|2|6|5|4|0|0|0|0|0|0|0|0|5|7	0	0	0	0	0	-27.03	0.09	0.92		1|0	1	0.5	225
AMOT_HeLa	117938251	BCLAF1	8|0	8	4	2	16|13|42|38|2|0|0|0|0|0|19|56|47|21|40|20|16|17|47|17|37|44|31|15|53|64|54|26	0	0	0	0	0	-255.36	0.07	0.92		8|0	8	4	869
AMOT_HeLa	21735417	BICD2	2|0	2	1	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.38	0.76	0.38	0.76	0.38	-3.39	10	0.26		2|0	2	1	824
AMOT_HeLa	188497705	BRAP	7|5	12	6	2	17|23|1|2|0|0|0|0|0|0|23|22|10|11|12|14|15|9|4|2|1|3|0|1|2|0|1|0	0	0	0	0	0	-78.57	0.28	0.91		7|5	12	6	592
AMOT_HeLa	119395734	BRCA2	4|1	5	2.5	2	0|0|11|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|11|11|10|3|0	0	0	0	0	0	-56.25	0.19	0.9		4|1	5	2.5	3418
AMOT_HeLa	19718731	BRD4	2|0	2	1	2	17|11|24|35|0|0|0|0|0|0|27|36|36|18|35|12|35|12|28|27|37|20|12|26|19|20|42|21	0	0	0	0	0	-170.07	0.03	0.92		2|0	2	1	1362
AMOT_HeLa	55770900	BRIX1	7|7	14	7	2	8|8|0|1|6|3|1|3|2|1|4|3|6|0|11|0|6|0|1|3|2|0|0|3|3|2|16|3	0	0	0	0	0	-31.16	0.65	0.89		7|7	14	7	353
AMOT_HeLa	59814247	BUB1B	14|1	15	7.5	2	24|13|9|13|0|0|0|0|0|0|17|3|1|12|4|6|12|7|3|6|3|7|3|6|2|5|2|0	0	0	0	0	0	-71.63	0.45	0.9		14|1	15	7.5	1050
AMOT_HeLa	4757880	BUB3	5|7	12	6	2	5|5|1|3|6|8|4|4|7|4|8|9|6|3|4|4|6|6|4|4|2|5|1|4|2|2|2|1	0	0	0	0	0	-24.27	0.75	0.85		5|7	12	6	328
AMOT_HeLa	7706322	C14orf166	3|1	4	2	2	1|7|0|0|0|0|0|0|0|0|4|1|1|5|2|3|4|3|0|0|0|0|0|0|0|0|4|1	0	0	0	0	0	-20.67	0.4	0.83		3|1	4	2	244
AMOT_HeLa	218505827	C15orf23	4|1	5	2.5	2	0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.16	0.31	0.16	0.31	0.16	-3.59	3.33	0.41		4|1	5	2.5	316
AMOT_HeLa	27735067	C19orf21	49|32	81	40.5	2	0|0|38|55|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|25|18|19|22|33|30|23|22|16	0	0	0	0	0	-94.03	1.04	0.91		49|32	81	40.5	679
AMOT_HeLa	45387955	C19orf70	0|2	2	1	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0	0.17	0.34	0.17	0.34	0.17	-3.93	4	0.39		0|2	2	1	118
AMOT_HeLa	224591399	C1orf174	0|1	1	0.5	2	0|1|1|1|1|1|0|0|0|0|2|0|0|0|2|0|0|0|1|1|2|1|1|1|1|0|1|1	0	0	0	0	0	-9.68	0.29	0.92		0|1	1	0.5	243
AMOT_HeLa	4502491	C1QBP	1|3	4	2	2	12|13|0|0|7|7|8|6|6|6|28|35|21|29|29|27|18|24|0|0|0|0|0|1|1|0|8|2	0	0	0	0	0	-131.61	0.07	0.92		1|3	4	2	282
AMOT_HeLa	7657015	C22orf28	0|1	1	0.5	2	6|0|1|0|0|0|0|0|0|0|9|7|4|5|3|0|6|4|0|2|3|4|0|0|0|1|0|3	0	0	0	0	0	-32.52	0.07	0.92		0|1	1	0.5	505
AMOT_HeLa	13376798	C2orf44	2|0	2	1	2	0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0	0.03	0.06	0.03	0.06	0.03	-5.73	1.33	0.52		2|0	2	1	721
AMOT_HeLa	239582772	C2orf47	0|1	1	0.5	2	0|0|0|0|1|1|1|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-7.54	0.4	0.92		0|1	1	0.5	291
AMOT_HeLa	18105007	CAD	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|10|4|7|4|3|7|10|6|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-39.2	0.06	0.92		0|1	1	0.5	2225
AMOT_HeLa	15149465	CALD1	53|42	95	47.5	2	27|27|54|84|0|0|0|0|0|0|44|22|14|1|6|3|23|3|104|89|116|66|42|54|52|95|36|33	0	0	0	0	0	-318.73	0.47	0.92		53|42	95	47.5	532
AMOT_HeLa	4757900	CALR	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-5.83	0.5	0.92		0|1	1	0.5	417
AMOT_HeLa	194578885	CALU	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-3.39	5	0.92		0|1	1	0.5	315
AMOT_HeLa	186659512	CAMSAP1	4|1	5	2.5	2	2|5|3|3|0|0|0|0|0|0|4|3|0|4|0|0|4|0|0|0|1|0|1|0|0|3|0|0	0	0	0	0	0	-17.56	0.59	0.79		4|1	5	2.5	1602
AMOT_HeLa	44955929	CAMSAP2	2|0	2	1	2	0|0|0|2|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|2|0|1|1|0|1|2|0|0	0	0	0	0	0	-9.68	0.57	0.67		2|0	2	1	1478
AMOT_HeLa	10716563	CANX	0|1	1	0.5	2	2|2|2|0|7|6|6|5|6|6|0|0|0|0|6|0|0|0|0|3|0|0|2|1|0|0|0|0	0	0	0	0	0	-29.22	0.08	0.92		0|1	1	0.5	592
